Sector_ID,Latitude,Longitude,Azimuth,TA,Target,Popu_Type,Datetime,Province,Vendor,Total_Payload_GB,Total_DL_Payload(GB),UserThroughput,DL_Spectral_efficiency,Average_Reported_CQI,DL_PRB_UTILIZATION,Sector_Bandwidth(MHz),cell_availability_include_manual_blocking,ConnectedUser,PPM,UPM,Day,Hour,Label,OS
KS0864A,34.80761,46.486404,65,0.5250651428571429,1,Residential,2022-12-10 23:00:00,KS,Huawei,38.636,34.18,8.749,1.614,9.939,69.715,75.0,100.0,371.799,0.4557333333333333,4.957319999999999,Saturday,23.0,City Capacity,0.0
SM0181B,35.597017,53.404106,240,0.399952,1,Residential,2022-12-14 23:00:00,SM,Nokia,17.842,16.566,11.685,1.577,9.032,40.993,75.0,100.0,124.976,0.22088,1.6663466666666666,Wednesday,23.0,City Capacity,0.0
SM0203A,35.58214,53.37492,20,0.284269,1,Residential,2022-12-14 23:00:00,SM,Nokia,7.101,6.554,16.12,1.481,9.607,23.064,75.0,100.0,55.845,0.08738666666666667,0.7446,Wednesday,23.0,City Capacity,0.0
SM0263A,35.593769,53.387842,10,0.5155914285714287,1,Residential,2022-12-13 23:00:00,SM,Nokia,13.48,12.46,17.184,1.832,10.391,29.369,75.0,100.0,107.435,0.16613333333333336,1.4324666666666668,Tuesday,23.0,City Capacity,0.0
SM0293C,36.427425,54.977819,270,0.3027811428571428,1,Residential,2022-12-13 23:00:00,SM,Nokia,7.662,7.213,18.174,1.616,11.74,22.606,75.0,100.0,52.578,0.09617333333333333,0.70104,Tuesday,23.0,City Capacity,0.0
SM0298A,35.58653,53.36515,0,0.5046481428571429,1,Residential,2022-12-13 23:00:00,SM,Nokia,20.522,18.476,17.286,1.997,10.581,36.955,75.0,100.0,118.084,0.24634666666666666,1.5744533333333335,Tuesday,23.0,City Capacity,0.0
TH0013C,35.77767,51.46401,315,0.3512078571428571,1,Residential,2022-12-10 23:00:00,TH,Huawei,14.418,13.109,14.865,1.06,7.892,40.698,75.0,100.0,113.347,0.17478666666666667,1.5112933333333332,Saturday,23.0,City Capacity,0.0
TH0019B,35.61775,51.40529,215,0.4980400451212634,1,Residential,2022-12-12 23:00:00,TH,Ericsson,29.018,26.78,12.883,3.121,9.052,56.515,75.0,100.0,198.8725,0.3570666666666667,2.6516333333333333,Monday,23.0,City Capacity,0.0
TH0022A,35.700705,51.259011,115,0.5641938250428816,1,Residential,2022-12-14 23:00:00,TH,Ericsson,33.72,29.723,5.706,1.461,8.933,66.99,75.0,100.0,316.87225,0.39630666666666664,4.224963333333333,Wednesday,23.0,City Capacity,0.0
TH0024B,35.7056,51.44323,180,0.5787313432835821,1,Residential,2022-12-12 23:00:00,TH,Ericsson,29.724,26.848,7.148,2.79,9.389,63.384,75.0,100.0,286.728,0.3579733333333333,3.82304,Monday,23.0,City Capacity,0.0
TH0026A,35.68057,51.43909,50,0.6118472243004638,1,Residential,2022-12-14 23:00:00,TH,Ericsson,31.388,27.679,12.099,1.76,9.222,51.789,75.0,100.0,242.3055,0.3690533333333333,3.23074,Wednesday,23.0,City Capacity,0.0
TH0026B,35.68057,51.43909,145,0.848916083916084,1,Residential,2022-12-12 23:00:00,TH,Ericsson,36.802,32.781,3.699,2.463,8.575,87.674,75.0,100.0,378.661,0.43707999999999997,5.048813333333333,Monday,23.0,City Capacity,0.0
